Date,Type,Coin,Amount crypto,Amount fiat,Price
2022-04-06 13:03,BUY,ZIL,237.488763,30,0.12632177
2022-04-05 9:58,BUY,ZIL,1420.437957,185,0.13024152
2022-03-25 8:08,BUY,ZIL,539.981408,25,0.04629789
2022-03-18 17:54,WITHDRAW,XLM,56.807137,9.87,0.17368359
2022-03-18 17:47,WITHDRAW,CM,10,10,1
2022-03-18 17:47,BUY,XLM,56.807137,10,0.17603422
2022-03-18 17:28,WITHDRAW,XRP,481.580812,344.16,0.7146494
2022-03-18 17:22,DEPOSIT,CM,10,10,1
2022-03-18 16:42,BUY,XRP,481.580812,350,0.72677314
2022-01-02 11:59,WITHDRAW,XLM,100.000017,24.91,0.2491327
2022-01-02 11:46,BUY,XLM,100,25.37,0.2537
2021-12-22 10:31,WITHDRAW,XRP,923.385878,784.1,0.84915953
2021-12-22 10:26,BUY,XRP,923.3858617,800,0.8663767
2021-12-09 15:57,WITHDRAW,XLM,2010.2051,503.98,0.25070943
2021-12-04 19:43,BUY,XLM,2010.205117,520,0.25868007
2021-12-04 8:49,WITHDRAW,XRP,1513.1851,989.12,0.65367
2021-12-04 8:26,BUY,XRP,1513.18511657,1000,0.66085768
2021-11-29 18:44,BUY,MATIC,11,17.38,1.58
2021-11-20 14:54,WITHDRAW,THETA,65,371.78,5.71972632
2021-11-14 23:21,WITHDRAW,BNB,0.173,98.17,567.43612187
2021-11-14 21:54,BUY,BNB,0.173,100,578.03468208
2021-11-12 9:17,BUY,THETA,65,413.79,6.366
2021-10-27 21:15,BUY,XRP,336,296.28,0.88178571
2021-07-29 16:06,BUY,XRP,1000,606.58,0.60658
2021-04-25 14:01,WITHDRAW,DOT,14.41,369.57,25.64690817
2021-04-25 1:55,BUY,DOT,7.2,182.23,25.30972222
2021-04-25 1:54,WITHDRAW,CM,182.23,182.23,1
2021-04-23 3:50,SELL,FTM,714,182.23,0.26
2021-04-23 3:50,DEPOSIT,CM,182.23,182.23,1
2021-04-18 9:41,BUY,DOT,7.21,230.27,31.93758669
2021-04-18 9:41,WITHDRAW,CM,230.27,230.27,1
2021-04-18 5:22,SELL,DOT,3.84,120.97,32.12
2021-04-18 5:22,DEPOSIT,CM,120.97,120.97,1
2021-04-18 5:20,SELL,ZRX,71,109.3,1.57
2021-04-18 5:19,DEPOSIT,CM,109.3,109.3,1
2021-04-16 9:45,WITHDRAW,ADA,175.4,213.36,1.21643496
2021-04-15 23:16,BUY,ADA,175.4,223.8,1.27594071
2021-04-15 23:15,WITHDRAW,CM,223.8,223.8,1
2021-04-14 21:27,SELL,DOGE,2301,223.8,0.09905
2021-04-14 21:26,DEPOSIT,CM,223.8,223.8,1
2021-04-14 18:37,BUY,BTC,0.022581,1217.68,53924.98117887
2021-04-14 18:34,WITHDRAW,CM,1217.68,1217.68,1
2021-04-14 17:25,SELL,BTC,0.023283,1217.68,53250
2021-04-14 17:24,DEPOSIT,CM,1217.68,1217.68,1
2021-03-22 22:05,WITHDRAW,BTC,0.025,1145.09,45803.7
2021-03-09 14:39,WITHDRAW,ETH,0.54329,833.62,1534.40080106
2021-03-08 21:26,WITHDRAW,ADA,131.8,124.02,0.94096578
2021-03-07 22:12,WITHDRAW,ATOM,4.97,78.69,15.83347295
2021-03-03 20:08,BUY,FTM,435,200,0.45977011
2021-03-03 20:07,WITHDRAW,CM,200,200,1
2021-02-28 0:02,BUY,ETH,0.47828,600,1254.49527473
2021-02-28 0:01,WITHDRAW,CM,600,600,1
2021-02-23 11:31,BUY,BTC,0.006199,250,40329.08533634
2021-02-23 11:30,WITHDRAW,CM,250,250,1
2021-02-22 11:09,DEPOSIT,CM,500,500,1
2021-02-20 17:32,DEPOSIT,CM,500,500,1
2021-02-18 21:02,BUY,DOT,3.84,100,26.04166667
2021-02-18 21:01,WITHDRAW,CM,100,100,1
2021-02-18 20:00,BUY,FTM,279,50,0.17921147
2021-02-18 19:59,WITHDRAW,CM,50,50,1
2021-02-18 18:17,DEPOSIT,CM,200,200,1
2021-02-18 11:41,BUY,DOGE,2301,100,0.04345937
2021-02-18 11:40,BUY,BTC,0.011462,500,43622.40446693
2021-02-16 7:38,BUY,ATOM,4.97,100,20.12072435
2021-02-16 6:46,BUY,BTC,0.014508,600,41356.4929694
2021-02-15 22:10,BUY,ETH,0.06501,100,1538.22488848
2021-02-15 22:02,BUY,ZRX,71,100,1.4084507
2021-02-15 21:57,BUY,ADA,131.8,100,0.75872534
2021-02-15 15:18,BUY,BTC,0.00372,150,40322.58064516
2021-02-15 15:07,BUY,BTC,0.012394,500,40342.10101662
